active,code,image,name
false,THA,language_tha.svg,Thai
false,TIR,language_tir.svg,Tigrinya
false,TUK,language_tuk.svg,Turkmen
false,TGL,language_tgl.svg,Tagalog
false,TSN,language_tsn.svg,Tswana
false,TON,language_ton.svg,Tonga
false,TUR,language_tur.svg,Turkish
false,TSO,language_tso.svg,Tsonga
false,TAT,language_tat.svg,Tatar
false,TWI,language_twi.svg,Twi
false,TAH,language_tah.svg,Tahitian
false,UIG,language_uig.svg,Uyghur
false,UKR,language_ukr.svg,Ukrainian
false,URD,language_urd.svg,Urdu
false,UZB,language_uzb.svg,Uzbek
false,VEN,language_ven.svg,Venda
false,VIE,language_vie.svg,Vietnamese
false,VOL,language_vol.svg,Volapük
false,WLN,language_wln.svg,Walloon
false,WOL,language_wol.svg,Wolof
false,XHO,language_xho.svg,Xhosa
false,YID,language_yid.svg,Yiddish
false,YOR,language_yor.svg,Yoruba
false,ZHA,language_zha.svg,Zhuang
false,ZHO,language_zho.svg,Chinese
false,ZUL,language_zul.svg,Zulu
